ID,tweets
405,rtjuly th release datebillboard chas come brooklyn ny 
406,rtjuly th release datebillboard chas come brooklyn ny 
407,rtjuly th release date expecting album billboard chas brooklyn ny 
408,rtjuly th release date expecting album billboard chas brooklyn ny 
409,rtjuly th release datebillboard chas come brooklyn ny 
410,beyonce chrisbrown liluzi lebronjameshey big guys share thoughts
411,rtchris brownquestions chrisbrown 
412,rtchris brown arrested againtmz chrisbrown
413, well sis get bottle enjoying life seeing beezy whatanight 
414,rtbusted chris brown hopped conce stage back police cruiser tmz chrisbrown
415,chrisbrown raleigh conce heabreakonafullmoon
416,rtjuly th release date expecting album billboard chas brooklyn ny 
417,rtjuly th release date expecting album billboard chas brooklyn ny 
418,rtjuly th release date expecting album billboard chas brooklyn ny 
419,rtjuly th release date expecting album billboard chas brooklyn ny 
420,rtbreakingnow repos confirmation hearings dc circuit cou brettkavanaugh lied congre 
421,rtbreakingnow repos confirmation hearings dc circuit cou brettkavanaugh lied congre 
422,rtnothing see herejust another headline cnn wont cover police long island man charged sex assault 
423,rtbreakingnow repos confirmation hearings dc circuit cou brettkavanaugh lied congre 
424,rtbreakingnow repos confirmation hearings dc circuit cou brettkavanaugh lied congre 
425, humanity justice case thaarjustice reuters government iraq bbctrending bbcnews 
426,rtuh just hell ffs watch cnn repoer says american women wear islamic veil show respect 
427,rtyes beat feds suingbillion winning realironman wong betawards 
428,rtdont come country illegally cnn msnbc abc nbc cbs hln cnbc msm news media wsj cnnsotu usatoday today nyt 
429,rtbreakingnow repos confirmation hearings dc circuit cou brettkavanaugh lied congre 
430,rtdont come country illegally cnn msnbc abc nbc cbs hln cnbc msm news media wsj cnnsotu usatoday today nyt 
431,yadayadayada better pay time effo cleaning shitanddrugs city pelosi 
432,rtbreakingnow repos confirmation hearings dc circuit cou brettkavanaugh lied congre 
433,rtbreakingnow repos confirmation hearings dc circuit cou brettkavanaugh lied congre 
